,word,adult_definition,kids_definition,simplified,similarity
5739,thought,'A plan or notion that is formed and exists in the mind as a result of mental activity.',a person’s mind and all the ideas that they have in it when they are thinking,"Thoughts are ideas in our mind when we think, talk, or dream.",0.75416636
5740,hall,'A narrow hall or passage with rooms leading off it.',a passage in a building with rooms down either side,A hallway is a passage in a building with rooms on both sides.,0.87827873
5741,hotel,'An establishment that provides accommodation and other services for paying guests; normally larger than a guest house and often one of a chain.',a building where people stay usually for a short time paying for their rooms and meals,A hotel is a place where people stay for a short time and pay for their rooms and food.,0.91111594
5742,cloth,'A woven fabric such as used in dressing decorating cleaning or other practical use.',a piece of cloth often used for a special purpose especially cleaning things or covering a table,We use cloth for cleaning and covering things like tables or beds.,0.8063382
5743,ordinary,'Something that is routine or is well known.',used to say what normally happens in a particular situation,This says what usually happens in a certain situation.,0.8766229
5744,shirt,'An article of clothing that is worn on the upper part of the body and often has sleeves either long or short that cover the arms.',a piece of clothing worn on the upper part of the body made of light cloth with sleeves and usually with a collar and buttons down the front,A shirt is a piece of clothing you wear on your upper body.,0.78416264
5745,signal,'An indication given to another person.',a movement or sound that you make to give somebody information instructions a warning etc.,"The word 'Said' is a movement or sound that you make to give somebody information, instructions, a warning, etc.",0.9021472
5746,flag,'A piece of cloth often decorated with an emblem used as a visual signal or symbol.',a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization may be used to give a signal or may have a particular meaning. A flag can be attached to a pole (= a long thin straight piece of wood or metal) or held in the hand.,A special cloth with a picture or colour on it can be used to send a message or show what group it belongs to. It can be tied to a long stick or held in the hand.,0.9406857
5747,authentication,'The act of establishing or confirming something or someone is what or who he or it is.',the act of proving that something is real true or what somebody claims it is,Show that something is real or true by giving proof.,0.8603325
5748,cupboard,'An enclosed non walk-in storage space with a door as a means of access. Usually to be found in a kitchen',a space in a wall with a door that reaches the ground used for storing things,A cupboard is a space in a wall with a door that reaches the ground used for storing things.,0.9079371
5749,hundred,'The cardinal number occurring after ninety-nine and before one hundred one represented in Roman numerals as C and in Arabic numerals as 100.',the numbers from 100 to 999,Numbers from 100 to 9999 were written on paper.,0.79259384
5750,centre,'The point on a segment that is midway between the ends.',the middle point or part of something,The middle part of something.,0.8851925
5751,pope,'The bishop of Rome; the head of the Roman Catholic church.',the leader of the Roman Catholic Church who is also the Bishop of Rome,The leader of the Catholic Church is also the Bishop of Rome and the head of the worldwide Catholic Church.,0.9212434
5752,token,'An entity that signifies the authority or identity of something.',something that is a symbol of a feeling a fact an event etc.,Something important that has a special meaning to people.,0.7701607
5753,truth,'That which conforms to reality.',the quality or state of being based on fact,It is based on fact; it is true.,0.76749533
5754,beer,'An alcoholic beverage commonly fermented from barley malt with hops or some other substance to impart a bitter flavor.',an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.,Beer is a drink made from malt with hops that tastes good. There are many kinds of beer.,0.9517457
5755,ecstatic,'Having feelings of intense pleasure.',very happy excited and enthusiastic; feeling or showing great enthusiasm,very happy and excited.,0.74978137
5756,nanny,A woman who watches over someone else's kids usually as a full-time job.,a person whose job is to take care of young children in the children’s own home,The person takes care of the children in their own home.,0.8423871
5757,foal,'A juvenile horse especially one which is not yet weaned.',a very young horse or donkey,A little horse or donkey would come out of the stable and go into the field.,0.7556707
5758,heartbeat,'A rhythmic pulsation of the heart.',the movement or sound of the heart as it sends blood around the body,The beat of the heart as it pumps blood around the body.,0.91470766
5759,phlegm,'A sticky fluid secreted by the mucous membranes of animals.',the thick substance that forms in the nose and throat especially when you have a cold,The yucky stuff that comes out of your nose and throat when you have a cold.,0.88277924
5760,lightning,'The flash of light caused by the discharge of atmospheric electrical charge.',a flash or several flashes of very bright light in the sky caused by electricity,A bright light flashed in the sky from electricity in the clouds.,0.7891853
5761,true,'Concurring with a given set of facts.',used to admit that a particular fact or statement is correct although you think that something else is more important,"Said that something was true, even though I thought something else was more important.",0.7636776
5762,hole,'A often round piece of nothingness in some solid.',a hollow space in something solid or in the surface of something,A hole is a space in something solid or a gap in something like fabric.,0.84119713
5763,ancestor,Person from whom a person is descended whether on the father's or mother's side at any number of generations.,a person in your family who lived a long time ago,"Someone in your family who lived long ago, like a mom, dad, grandma, or grandpa.",0.8321415
5764,witchcraft,'The use of certain kinds of supernatural or magical powers.',the use of magic powers especially evil ones,"Magic, especially bad magic, was never allowed.",0.7144994
5765,brand,'A name symbol logo or other item used to distinguish a product or manufacturer from its competitors.',a type of product service etc. made or offered by a particular company under a particular name,"Some companies make products or services with special names, and those names are protected so nobody else can use them.",0.73472625
5766,emperor,'The head of state of an empire.',the ruler of an empire,The king was fair and good.,0.6955321
5767,alliance,'Any union resembling that of families or states; union by relationship in qualities; affinity.',an agreement between countries political parties etc. to work together in order to achieve something that they all want,"A group of countries, parties, etc. agreed to work together to get what they all wanted.",0.7763591
5768,syllable,'A unit of human speech that is interpreted by the listener as a single sound although syllables usually consist of one or more vowel sounds either alone or combined with the sound of one or more consonants.',any of the units into which a word is divided containing a vowel sound and usually one or more consonants,Words are divided into parts called units that have a vowel sound and maybe some consonants.,0.8600513
5769,headache,'A common (and sometimes acute) pain of the head and head area.',a continuous pain in the head,The pain in my head was sharp and piercing and felt like it was coming from the back of my head and spreading all over.,0.66811067
5770,eleven,'The cardinal number occurring after ten and before twelve represented in Roman numerals as XI in Arabic numerals as 11.',a team of eleven players for football (soccer) cricket or hockey,"A group of eleven people playing football, cricket, or hockey is called an eleven.",0.80594105
5771,fifteen,'The cardinal number occurring after fourteen and before sixteen represented in Roman numerals as XV and in Arabic numerals as 15.',a team of Rugby Union players,Rugby players from four countries played a charity match.,0.69319546
5772,twenty,'The cardinal number occurring after nineteen and before twenty-one represented in Roman numerals as XX and in Arabic numerals as 20.',numbers years or temperatures from 20 to 29,The temperature went from 20 to 29 in the morning and 28 in the afternoon.,0.6241637
5773,forty,'The cardinal number occurring after thirty-nine and before forty-one represented in Roman numerals as XL and in Arabic numerals as 40.',numbers years or temperatures from 40 to 49,We used temperatures from 40 to 49 degrees Fahrenheit to decide if it was a hot day.,0.6251308
5774,fifty,'The cardinal number occurring after forty-nine and before fifty-one represented in Roman numerals as L and in Arabic numerals as 50.',numbers years or temperatures from 50 to 59,The temperatures from 50 to 59 degrees Fahrenheit showed the weather.,0.68762255
5775,sixty,'The cardinal number occurring after fifty-nine and before sixty-one represented in Roman numerals as LX and in Arabic numerals as 60.',numbers years or temperatures from 60 to 69,"Numbers from 60 to 69 are also given, so children can work out the answer alone.",0.62291324
5776,seventy,'The cardinal number occurring after sixty-nine and before seventy-one represented in Roman numerals as LXX and in Arabic numerals as 70.',numbers years or temperatures from 70 to 79,"When it is between 70 and 79 degrees Fahrenheit and the air is between 50 and 60 percent humid, we need to take care so mold doesn't grow.",0.6415453
5777,eighty,'The cardinal number occurring after seventy-nine and before eighty-one represented in Roman numerals as LXXX and in Arabic numerals as 80.',numbers years or temperatures from 80 to 89,It will take 7 to 10 days of temperatures between 80 and 89 degrees Fahrenheit to wake up the seeds.,0.6526541
5778,ninety,'The cardinal number occurring after eighty-nine and before ninety-one represented in Roman numerals as XC and in Arabic numerals as 90.',numbers years or temperatures from 90 to 99,Very high temperatures are from 90 to 99.,0.7219947
5779,acquaintance,'A person that someone has met repeatedly and has a superficial knowledge of.',a person that you know but who is not a close friend,A person you know who is not a close friend is called an acquaintance.,0.89847827
5780,whine,'To complain or protest in an excessive annoying or persistent way.',to make a long high unpleasant sound because you are in pain or unhappy,to make a loud unhappy noise because you hurt.,0.8588742
5781,mayoress,'The female leader of a city or municipality.',the wife of a mayor or a woman who helps a mayor at official ceremonies,The mayor's wife or a woman who helps the mayor.,0.9162208
5782,hearing,'The general perceptual behaviour and the specific responses made in relation to sound stimuli.',an official meeting at which the facts about a crime complaint etc. are presented to the person or group of people who will have to decide what action to take,A meeting where the facts about a crime are told to the people who decide what to do.,0.89642155
5783,recipe,'A set of instructions (typically consisting of ingredients and a method) for creating something (usually a food product or dish).',a set of instructions that tells you how to cook something and the ingredients (= items of food) you need for it,A recipe is a list of things you need and what to do with them to make a dish.,0.87130487
5784,interpretation,'An explanation of something that is not immediately obvious.',the particular way in which something is understood or explained,The special way something is explained.,0.8630539
5785,hangover,'The sickness nausea and headaches that occur the morning after a person drinks too much alcohol.',the headache and sick feeling that you have the day after drinking too much alcohol,The sick feeling you get the morning after you drink too much.,0.92815757
5786,farther,'At a more advanced or later point in a trajectory (such as a journey).',at or to a greater distance in space or time,far away from a certain point or time.,0.7515998
5787,snowflake,'An agglomeration of ice crystals falling from the sky.',a small soft piece of frozen water that falls from the sky as snow,Snow is small soft pieces of frozen water that fall from the sky.,0.8803054
5788,want,'To have a strong desire for something.',to feel sexual desire for somebody,to feel love for someone.,0.8487952
5789,pronunciation,'The way words are made to sound when spoken.',the way in which a particular person pronounces the words of a language,The way someone says words is how they sound when they say them.,0.78124017
5790,weaving,'The process of making woven material on a loom',the activity of making cloth by weaving,"Making cloth by weaving or knitting yarn, thread, or other material is an activity.",0.76750016
5791,concept,'Something understood and retained in the mind from experience reasoning or/and imagination; a generalisation (generic basic form) or abstraction (mental impression) of a particular set of instances or occurances.',an idea or a principle that is connected with something abstract,A thought or rule that is part of a bigger idea or plan.,0.8622662
5792,glyph,'A single formed character or symbol usually representing a letter in a font',a symbol or picture that represents a word especially one from an ancient writing system,A symbol that stands for a word from an old writing system.,0.8996315
5793,manuscript,'A work that was written by hand.',a very old book or document that was written by hand before printing was invented,An old book or paper written by hand before printing began.,0.93788785
5794,turkey,'Either of two species of bird in the family Meleagrididae with fan-shaped tail and wattled neck.',a large bird that is often kept for its meat eaten especially at Christmas in the UK and at Thanksgiving in the US,A turkey is a big bird that people often eat at special times like Christmas and Thanksgiving.,0.8323873
5795,convoy,'A group of vehicles or ships travelling in formation for mutual support such as resisting attacks by an enemy.',a group of vehicles or ships travelling together especially when soldiers or other vehicles travel with them for protection,"Many vehicles or ships travel together, like when soldiers go with them to keep them safe.",0.86757594
5796,delivery,'Transportation and/or handing over of ordered goods to the orderer.',the act of taking goods letters etc. to the people they have been sent to,Sending letters and things to the people they are meant for through the mail system.,0.7892302
5797,grooming,'Caring for horses or other animals by brushing and cleaning them.',the things that you do to keep your clothes and hair clean and neat or to keep an animal’s fur or hair clean,The things we do to keep our clothes and hair clean and neat are called grooming habits.,0.8593122
5798,skinny,'(Of a person or animal) Narrow in size and usually indicating carrying little fat.',very thin especially in a way that you find unpleasant or ugly,It is very thin in a way that you don't like.,0.8227105
5799,thinness,'The property of being thin.',the fact of not having much fat or muscle on your body,Having little fat or muscle on your body makes you look slim.,0.882976
5800,leanness,'The property of being thin.',the quality in a person of not having much fat; the quality of being thin and fit,The quality of being thin and fit.,0.86343694
5801,patience,'The quality of being patient.',the quality of being extremely patient and not complaining,Being very patient and not complaining when things are hard or hurt.,0.84086275
5802,protagonist,'The principal character in a work of fiction.',the main character in a play film or book,The main person in a story is called the hero and the person who fights against them is called the bad guy.,0.6772774
5803,etymology,'The science dealing with the origin and historical development of words.',the study of the origin and history of words and their meanings,"Studying how words came to be and what they mean is a very interesting and complicated subject that needs a lot of knowledge about languages, old books, and history.",0.76370704
5804,of,'Containing comprising or made from.',relating to or showing somebody/something,telling about someone or something.,0.74314797
5805,bombard,'To attack by using one or more bombs.',to attack a place by firing large guns at it or dropping bombs on it continuously,The soldiers kept firing big guns and dropping bombs on the place for a long time to destroy it completely.,0.7149823
5806,shrine,'Originally a container especially for a relic and often a cult image and/or a holy or sacred place containing the same.',a place where people come to worship because it is connected with a holy person or event,A special building where people come to pray because of a special person or thing that happened there.,0.8993659
5807,relic,'A part of the body of a saint or something that was owned by a saint kept for veneration.',a part of the body or clothing of a holy person or something that they owned that is kept after their death and respected as a religious object,A relic is something that belonged to a holy person and is kept and respected after they die.,0.9133316
5808,danger,'A situation that constitutes an immediate risk for injury on a person or property.',a person or thing that may cause damage or harm somebody,Something that can hurt someone or something.,0.836436
5809,bench,'Seat for more than one person narrow and long with or without back support made of hard materials (wood metal) that is normally found in public places (churches parks etc.).',a long seat for two or more people usually made of wood,A long seat for two or more people made of wood or special fabric.,0.9465711
5810,architect,'A professional who designs buildings or other structures or who prepares plans and superintends construction.',a person who designs or puts together a program or computer system,A person who makes a computer program or system.,0.9276842
5811,gorilla,'The largest of the great apes (Hominidae) native to the forests of central Africa.',a very large powerful African ape (= an animal like a large monkey without a tail) covered with black or brown hair,A large powerful ape lived in the jungle of Africa.,0.7584528
5812,athlete,'A person trained to compete in sports.',a person who is good at sports and physical exercise,A person good at sports will have less fat.,0.82233655
5813,performer,'A person who exhibits and executes a skill or talent (often in music or drama) in front of an audience in order to entertain them.',a person who performs for an audience in a show concert etc.,A person who performs in front of people is called a performer.,0.8594539
5814,interrogate,'To examine by asking (a witness for example).',to obtain information from a computer or other machine,"To get information from a computer, you must tell it exactly what you want it to do.",0.7643658
5815,duty,'That which one is morally or legally obligated to do.',something that you feel you have to do because it is your moral or legal responsibility,You must do something because it is your duty.,0.8136401
5816,west,'One of the four principal compass points specifically 270° conventionally directed to the left on maps. The direction of the setting sun.',the direction that you look towards to see the sun go down; one of the four main points of the compass,The direction you look to see the sun go down; one of the four main points of the compass.,0.96527493
5817,author,'Person who wrote the content of a published novel book or text.',a person who writes books or the person who wrote a particular book,The person who wrote the book.,0.7099868
5818,writer,'Person who wrote the content of a published novel book or text.',a person whose job is writing books stories articles etc.,"A person who writes books, stories, and articles will always help with writing.",0.71646714
5819,plot,'The series of actions situations and events that make up a novel or story.',the series of events that form the story of a novel play film etc.,The story is made up of many things that happen. ,0.8006396
5820,mercy,'The switch between a ruled death sentence and a milder one.',an event or a situation to be grateful for usually because it stops something unpleasant,"It is a good thing that something unpleasant or difficult did not happen, so we can be grateful for it.",0.7399601
5821,rabble,'A disorderly and often noisy group of people.',a large group of noisy people who are or may become violent,"People who might become violent, especially if drunk, are kept away from crowded places like sports events and concerts, and sometimes not allowed in certain areas because of their behavior.",0.79960287
5822,enchantment,'A words or formula supposed to have magical powers.',the state of being under a magic spell,Being under a magic spell was not nice.,0.7664758
5823,afraid,'Having fear of or for something.',feeling fear; frightened because you think that you might be hurt or suffer,You feel afraid or worried that something bad might happen.,0.83860373
5824,decapitate,To cut the head from a person's body.,to cut off somebody’s head,The king's order must have been given when he was very angry or hated someone.,0.6522
5825,dinner,'A meal that is eaten in the late afternoon or evening daily.',the main meal of the day eaten either in the middle of the day or in the evening,The main meal of the day had meat or fish with vegetables and sometimes dessert.,0.8007724
5826,condom,'A contraceptive device consisting of a thin rubber or latex sheath worn over the penis during intercourse.',a thin rubber tube that a man wears over his penis during sex to stop a woman from becoming pregnant or to protect against disease,A thin tube that men wear to stop pregnancy or protect against disease.,0.91743815
5827,inch,'A unit of length equal to 2.54 centimetres.',a unit for measuring length or height equal to 2.54 centimetres. There are 12 inches in a foot.,"There are inches in a foot, feet in a yard, and yards in a mile.  ",0.76398325
5828,alkaline,'Of relating to or containing an alkali.',having the nature of an alkali,Sodium is a silver-white metal that reacts very strongly with water.,0.65126973
5829,pilgrimage,'A journey made to a sacred place or a religious journey.',a journey to a holy place for religious reasons,A special trip to a sacred place for worship.,0.8374939
5830,forfeit,'To suffer the loss of something by wrongdoing or non-compliance.',to lose or give something up as a necessary consequence of something that you have done,"You have to give up something because of what you did or decided, or because it is necessary in the situation.",0.88731503
5831,referee,'An official appointed to rule on plays and procedure.',a person who is asked to settle an argument,"When someone is asked to choose between two friends, it's hard.",0.70495135
5832,badge,'A simple accessory that can be attached to clothing with a pin or fastener often round and bearing a design logo or message and used for decoration identification or to show political affiliation etc.',a small piece of metal or plastic with a design or words on it that a person wears or carries to show that they belong to an organization support something have achieved something have a particular rank etc.,A small piece of metal or plastic with a design or words on it that a person wears or carries to show they belong to a group or support something.,0.955603
5833,often,'Many times with short intervals between occasions.',usually; in a way that is typical of somebody/something,The way it usually happens.,0.63383055
5834,channel,'A specific radio frequency or band of frequencies used for transmitting television.',a band of radio waves used for making television or radio broadcasts,Radio waves are used for TV and radio broadcasts.,0.8748247
5835,frequency,'Number of occurrences of a repeated event per unit of time (e. g. oscillations per second).',the rate at which a sound or electromagnetic wave vibrates (= moves up and down),The number of times a sound or wave goes up and down in a second.,0.8519897
5836,right-handed,'Using the right hand more skillfully than the left hand.',a right-handed tool is designed to be used with the right hand,A tool for the right hand is designed to be used that way.,0.9154113
5837,conference,'An event organized to discuss an issue with a range of speakers.',a large official meeting usually lasting for a few days at which people with the same work or interests come together to discuss their views,A big meeting where people with the same job or interests come together to talk about their ideas and share what they know.,0.8860135
5838,seminar,'A meeting held for the exchange of useful information by members of a community.',a meeting for discussion or training,We have a talk to learn something.,0.6772436
5839,giddy,'A state in which a group of people is continuously making silly jokes that can nevertheless lead to laughing fits as a reaction. Under the right circumstances the state can maintain itself or be induced in others contageously. The use of weed (Cannabis sativa) promotes the state in some individuals but it can also be induced by a joke or reference to an (earlier) funny event.',making you feel as if you are about to fall,"You feel sleepy, then wake up and are somewhere else.",0.6870928
5840,vortex,'A whirlwind whirlpool or similarly moving matter in the form of a spiral or column.',a mass of air water etc. that turns round and round very fast and pulls things into its centre,A big whirlpool that moves very quickly and pulls things towards its middle.,0.86688405
5841,haunch,'The area encompassing the upper thigh hip and buttocks on one side of a human primate or quadruped animal especially one that is able to sit on its hindquarters.',the tops of the legs and buttocks; the similar parts at the back of the body of an animal that has four legs,The top parts of the legs and bottom; the same parts on an animal's back.,0.9299457
5842,prefix,'A morpheme that is placed at the start of a word.',a letter or group of letters added to the beginning of a word to change its meaning such as un- in unhappy and pre- in preheat,A prefix is a letter or group of letters added to the beginning of a word to change its meaning.,0.8709897
5843,planet,'A large heavy body which does not produce energy by nuclear fusion moving in a stable elliptical orbit around a star.',a large round object in space that moves around a star (such as the sun) and receives light from it,A planet is a big thing in space that goes around a star like the sun and gets light from it.,0.8880571
5844,anecdote,'A short account of an incident often humorous.',a short interesting or funny story about a real person or event,"A funny story about a real person or event, or a famous saying.",0.9273437
5845,millennium,'A period of 1000 years.',a period of 1 000 years especially as calculated before or after the birth of Christ,"A long time of 1 000 years, around Christ’s birth, is often used to describe things that happened then.",0.85960186
5846,fighting,'Engaged in or ready for military or naval operations.',the activity of being involved in a battle against an enemy,Fighting a powerful enemy is very dangerous.,0.6514576
5847,donkey,'A domesticated animal Equus asinus.',an animal of the horse family with short legs and long ears. People ride donkeys or use them to carry heavy loads.,Donkeys are animals from the horse family with short legs and long ears. We ride them or use them to carry heavy loads.,0.95095384
5848,precaution,'A measure taken beforehand to ward off evil or secure good or success.',something that is done in advance in order to prevent problems or to avoid danger,Something that helps us avoid trouble before it happens.,0.81764865
5849,buzzard,'Diurnal bird of prey belonging to the Accipitridae family.',a large European bird of prey (= a bird that kills other creatures for food) of the hawk family,A large European bird of prey with a rounded tail and broad wings.,0.84412396
5850,falter,'To have problems articulating the words repeting sometimes some syllables.',to speak in a way that shows that you are not confident,"When you speak uncertainly, you might stutter, stammer, say ""um"" or ""er"", repeat yourself, or change what you said, making you seem nervous and unsure.",0.7739664
5851,stutter,'To have problems articulating the words repeting sometimes some syllables.',to have difficulty speaking because you cannot stop yourself from repeating the first sound of some words several times,"If you have trouble talking because you repeat the first sound of some words, you have this difficulty.",0.895455
5852,nucleus,'The massive positively charged central part of an atom made up of protons and neutrons.',the part of an atom that contains most of its mass and that carries a positive electric charge,The middle part of an atom is heavy and has a positive charge.,0.81744957
5853,bleed,'To emit or lose blood.',to lose blood especially from a wound or an injury,lose blood from a hurt.,0.75001013
5854,camel,'A beast of burden much used in desert areas of the genus Camelus.',an animal with a long neck and one or two humps on its back used in desert countries for riding on or for carrying goods,A camel is an animal with a long neck and humps on its back that people ride or use to carry things in the desert.,0.9286092
5855,migration,'The act for living things of moving from one biome to another.',the movement every year of large numbers of birds or animals from one place to another,Many birds and animals travel to new places every year for food or to have babies.,0.82920486
5856,truffle,'Any of various edible fungi of the genus Tuber that grow in the soil.',an expensive type of fungus that grows underground used in cooking,Truffle is a type of mushroom that grows underground and is used in cooking.,0.854601
5857,elm,'A tree of the genus Ulmus of the family Ulmaceae large deciduous trees with alternate stipulate leaves and small apetalous flowers.',a tall tree with broad leaves,A big tree with wide leaves stood in the forest.,0.8076219
5858,virgin,'A woman who has never had sexual intercourse.',a person who has never had sex,A person who has never had sex is called a virgin.,0.85064244
5859,east,'One of the four principal compass points specifically 90° conventionally directed to the right on maps. The direction of the rising sun.',the direction that you look towards to see the sun rise; one of the four main points of the compass,The way you look to see the sun come up; one of the four main points on a map.,0.885815
5860,infringement,'A crime less serious than a felony.',an act of breaking a law or rule,An act of breaking a rule is called disobedience.,0.80788505
5861,siege,'A prolonged military assault on a blockade of a city or fortress with the intent of conquering by force or attrition.',surrounded by an army or the police in a siege,The village was surrounded by an army or police.,0.7833301
5862,cougar,'Species of feline (Puma concolor) tawny-colored with black-tipped ears and tail.',a large American wild animal of the cat family with yellow-brown or grey fur,A big cat with yellow-brown or grey fur and a long tail with a black tip lives in the western and central parts of North America.,0.8824387
5863,clothes,All coverings designed to be worn on a person's body.,the things that you wear such as trousers dresses and jackets,"Clothes like trousers, dresses, and jackets hold many memories.",0.7834916
5864,absurd,'Contrary to reason or propriety.',things that are or that seem to be absurd,"The things that seem silly are often the most important, and the things that are clear are often not very important.",0.7760841
5865,fierce,'Marked by extreme and violent energy.',showing strong feelings or a lot of activity often in a way that is violent,showing a lot of strong feelings or a lot of action in a very strong way.,0.8569703
5866,crazy,'Mentally ill; affected with madness or insanity.',having a mental illness that makes somebody unable to think or behave normally,having a sickness in the mind that makes someone not think or act right.,0.9144399
5867,unofficially,'In a manner contrary to law.',without having permission or approval from somebody in authority,without being allowed by someone important.,0.7508921
5868,duration,'The weighted average life of a security.',the length of time that something lasts or continues,How long something lasts.,0.7684111
5869,pancake,'A delicacy made of flour eggs and milk baked in a frying pan.',a thin flat round cake made from a mixture of flour eggs and milk that is fried on both sides usually eaten hot for breakfast in the US and in the UK either as a dessert with sugar jam etc. or as a main course with meat cheese etc.,"A thin cake made from flour eggs and milk, fried on both sides, eaten hot for breakfast or as a dessert or main course.",0.9493249
5870,satisfied,'In a state of satisfaction.',believing or accepting that something is true ,believing something is true even if it cannot be proved.,0.89835036
5871,culture,'The body of customary beliefs social forms and material traits constituting a distinct complex of tradition of a racial or social group.',the customs and beliefs art way of life and social organization of a particular country or group,The way of life and social rules of a country or group are their customs and beliefs.,0.8990712
5872,abdication,'The voluntary renunciation of sovereign power.',the action of giving up the position of being king or queen,The act of giving up being king or queen.,0.8867729
5873,silliness,'The quality or state of being silly.',the fact of being stupid or embarrassing especially in a way that is more typical of a child than an adult,The fact of being silly or embarrassing like a kid.,0.8327965
5874,amnesty,'An act of the sovereign power granting a pardon.',a period of time during which people can admit to a crime or give up weapons or stolen items without being punished,A time when people can confess to doing wrong or give back things they took without getting in trouble.,0.8249237
5875,straggle,'To spread out in a disorderly fashion.',to grow spread or move in an untidy way in different directions,Things grow or move in a messy way in different directions.,0.76891875
5876,cheers,'An interjection of gratitude or politeness used in response to something done or given.',a word that people say to each other as they lift up their glasses to drink,"When we toast, we say ""cheers"" and lift up our glasses.",0.68379676
5877,roadkill,'An animal killed by traffic.',the killing of an animal by a car hitting it on the road,Animals get hit by cars on roads often.,0.7641517
5878,gravity,'Physics: the force of mutual attraction between all masses in the universe.',the force that attracts objects in space towards each other and that on the earth pulls them towards the centre of the planet so that things fall to the ground when they are dropped,The force that pulls things towards each other and towards the ground is called gravity.,0.8938426
5879,voyeurism,'The act of spying on people engaged in intimate behaviors.',the practice of getting pleasure by secretly watching people who are wearing no clothes or having sex,People like to watch others who are naked or having sex in secret.,0.8747636
5880,vein,'A blood vessel that transports blood from the capillaries back to the heart.',any of the tubes that carry blood from all parts of the body towards the heart,The tubes that carry blood from the body to the heart are called veins.,0.85296756
5881,explanation,'The act or process of describing how something works or the reasons why something happened.',a statement or piece of writing that tells you how something works or makes something easier to understand,This helps you know how something works or makes it easier to understand.,0.8793742
5882,amateur,'Someone who pursues something as a hobby.',doing something for pleasure or interest not as a job,"You do something for fun or because you like it, not for work or money.",0.8208924
5883,mane,'The long hair in the neck of horses and lions.',the long hair on the neck of a horse or a lion,The hair on the neck of a horse or a lion is called a mane.,0.8710839
5884,meditate,'To think intently and at length as for spiritual purposes.',to focus your mind usually in silence especially for religious reasons or in order to make your mind calm,Sit in silence to calm your mind.,0.7787334
5885,tangible,'Having substance or material existence.',that you can touch or feel,"We can't see it, but we can touch or feel it.",0.7811643
5886,global,'Involving the entire earth; not limited or provincial in scope.',covering or affecting the whole world,This thing affects the whole world.,0.78264016
5887,artwork,'Photographs or other visual representations in a printed publication.',a work of art especially one in a museum; works of art as a group,Works of art are special things in a museum. ,0.7989309
5888,graphics,'Photographs or other visual representations in a printed publication.',the activity of making these designs drawings or pictures or the use of these images,"It is not allowed to create these designs, drawings, or pictures or to use them to make something new.",0.7878432
5889,residency,'The abstract property of a human of living in a specific area given by precise and well defined borders. (This may be part of or include citizenship but not necessarily so e.g. for people having several places of residence for foreigners or ones officially being accepted on long-term transient living terms)',the period of time that an artist a writer or a musician spends working for a particular institution,The time a writer or artist works for a group is called a tenure.,0.8744215
5890,doctrine,'A rule principle theory or tenet of the law as the doctrine of merger the doctrine of relation etc.',a belief or set of beliefs held and taught by a Church a political party etc.,"Many people believe what a church, party, or group teaches is true.",0.79641855
5891,suspension,'An interruption in the intensity or amount of something.',the act of delaying something for a period of time until a decision has been taken,putting off something until later when you have to make a hard choice.,0.76479954
5892,storey,'A level usually consisting of several rooms in a building that consists of several levels.',a level of a building; a floor,The floor of a building.,0.80723506
5893,rollback,'An operation which returns a database or group of records in a database to a previous state.',the act of changing a situation law etc. back to what it was before,The act of making things go back to how they were before.,0.81057715
5894,contempt,'The feeling or attitude of regarding someone or something as inferior base or worthless.',the feeling that somebody/something is without value and deserves no respect at all,The feeling that someone or something is totally useless and deserves no respect.,0.87602985
5895,lip,'Either of the two fleshy protrusions around the opening of the mouth.',either of the two soft edges at the opening to the mouth,The two soft edges at the valley's mouth would have been better for the little prince.,0.7257873
5896,largeness,'Volume of something how large it is.',the fact of being big in size or quantity,Being big in size or quantity is a fact.,0.9054774
5897,monarchy,'A government with a hereditary head of state.',a system of government by a king or a queen,"A king or queen, or a group of people, make laws and decisions for a country.",0.81768346
5898,conspire,'To engage in plotting or enter into a conspiracy.',to secretly plan with other people to do something illegal or harmful,To make a secret plan with others to do something bad.,0.90210116
5899,rebellion,'Collective violent action against an established power or arbitrary authority.',opposition to authority within an organization a political party etc.,"When people in a group, like a party, don't follow the rules, it can cause big problems.",0.7236147
5900,condemn,'To declare after a judgement that somebody is guilty of commiting a crime.',to show or suggest that somebody is guilty of something,It shows that someone did something bad.,0.775571
5901,vestige,'The mark or visible sign left by something which is lost has perished or is no longer present.',a small part of something that still exists after the rest of it has stopped existing,A little bit of something that is still here after everything else is gone.,0.8736885
5902,minister,'A person appointed to a high office in the government.',a senior member of the government who is in charge of a government department or a branch of one,A high-up person in the government who is in charge of a part of it.,0.8208239
5903,remittance,'A payment to a remote recipient.',the act of sending money to somebody in order to pay for something,He sent money to buy things.,0.7571622
5904,mandarin,'The fruit of a small citrus tree (Citrus reticulata) resembling the orange.',a type of small orange with loose skin that comes off easily,A little orange with loose skin that peels easily.,0.87794304
5905,childhood,'Period of time when a person is a child.',the period of somebody’s life when they are a child,The time when someone is a child.,0.87032956
5906,kidney,'An organ in the body that produces urine.',either of the two organs in the body that remove waste products from the blood and produce urine,Kidneys are the two organs that clean the blood and make urine.,0.8742577
